subset,n,under_monotone_frac,over_monotone_frac,perfect_is_best_frac
all,450,0.9977777777777778,0.6377777777777778,0.7311111111111112
load>=1.2,270,0.9962962962962963,0.48148148148148145,0.5518518518518518
