comparison,n,mean_alg_a,mean_alg_b,mean_a_minus_b,frac_a_better,frac_equal,frac_a_worse
perfect(1.0) vs scale=0.5,450,0.9702915734266877,0.907213855641981,0.0630777177847066,0.6444444444444445,0.35333333333333333,0.0022222222222222222
perfect(1.0) vs scale=1.5,450,0.9702915734266877,0.9679083126042898,0.002383260822397837,0.5733333333333334,0.1622222222222222,0.2644444444444444
perfect(1.0) vs scale=2.0,450,0.9702915734266877,0.9523735723728379,0.017918001053849653,0.7133333333333334,0.1511111111111111,0.13555555555555557
congested perfect(1.0) vs scale=0.5,270,0.9504859557111461,0.8457187065090287,0.10476724920211745,0.9962962962962963,0.0,0.003703703703703704
congested perfect(1.0) vs scale=1.5,270,0.9504859557111461,0.9553701464102401,-0.004884190699093945,0.5592592592592592,0.0,0.44074074074074077
congested perfect(1.0) vs scale=2.0,270,0.9504859557111461,0.9378498064886771,0.012636149222468945,0.774074074074074,0.0,0.22592592592592592
