comparison,n,mean_alg_a,mean_alg_b,mean_a_minus_b,frac_a_better,frac_equal,frac_a_worse
correct CDF vs shifted CDF,450,0.9702915734266877,0.9301754817299426,0.04011609169674493,0.6755555555555556,0.30444444444444446,0.02
exact value vs noisy value,450,0.9702915734266877,0.9659556744162165,0.004335899010471048,0.39555555555555555,0.4,0.20444444444444446
