subset,n,eta_mean,eta_max,alg_mean,spearman_eta_alg,pearson_eta_alg,spearman_countwape_alg,spearman_valueerr_alg
all,14400,0.4180776434863007,2.6883114872693796,0.9382660981543912,-0.39708843750392625,-0.134870437334852,-0.12659603173882203,-0.01938017714065982
congested,8640,0.5036603785300451,2.6883114872693796,0.9047243007709607,-0.059508170348600974,0.057711649261211126,-0.013329455521277539,-0.03587606829043555
congested_high_hetero,2880,0.4879751176677882,2.4217758350587477,0.8956752001530112,0.024199526807884713,0.14304450973737248,0.02923003441197748,-0.024587628774732244
