subset,n,spearman_abs_eta_alg,spearman_under_eta_alg,spearman_over_eta_alg
all_count_controlled,1800,-0.4448889069440782,-0.12833685838644157,-0.21956691228866287
congested_count_controlled,1080,-0.20823981651790605,-0.32958118411106685,0.03408136142325613
