load,true_pattern,hetero,scale,pred_mode,cdf_mode,value_mode,frozen,calibrated,greedy,fipd,frozen_gap,calibrated_gap,delta,delta_std,runs,frozen_viol,calibrated_viol,delta_ci95
0.8,mixed,high,2.0,uniform,correct,noisy,0.9465790780134349,0.9518341193224826,1.0,0.9714589305926508,-0.05342092198656517,-0.048165880677517384,0.005255041309047792,0.007477105260981484,10,0,0,0.004634357854187724
0.8,mixed,high,2.0,uniform,shifted,exact,0.9879716813707861,0.9987763757982366,1.0,0.9714589305926508,-0.012028318629213951,-0.001223624201763396,0.010804694427450556,0.006365823113180263,10,0,0,0.00394557804300112
0.8,mixed,high,2.0,uniform,shifted,noisy,0.9867012827161223,0.9987262416519973,1.0,0.9714589305926508,-0.013298717283877593,-0.001273758348002707,0.012024958935874885,0.0075860038863395434,10,0,0,0.00470185392146552
0.8,mixed,low,0.5,type-noisy,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,0.5,type-noisy,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,0.5,type-noisy,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,0.5,type-noisy,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,0.5,uniform,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,0.5,uniform,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,0.5,uniform,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,0.5,uniform,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,type-noisy,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,type-noisy,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,type-noisy,shifted,exact,0.9991267697014097,0.9991267697014097,1.0,1.0,-0.0008732302985903107,-0.0008732302985903107,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,type-noisy,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,uniform,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,uniform,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,uniform,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.0,uniform,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.5,type-noisy,correct,exact,0.9948127708896195,0.9965103756068393,1.0,1.0,-0.005187229110380531,-0.0034896243931606397,0.0016976047172198917,0.005368297473060922,10,0,0,0.0033273052457509873
0.8,mixed,low,1.5,type-noisy,correct,noisy,0.9992272494424865,0.9992272494424865,1.0,1.0,-0.0007727505575135241,-0.0007727505575135241,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.5,type-noisy,shifted,exact,0.9975487739929656,0.9975487739929656,1.0,1.0,-0.0024512260070343127,-0.0024512260070343127,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.5,type-noisy,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.5,uniform,correct,exact,0.9975487739929656,0.9975487739929656,1.0,1.0,-0.0024512260070343127,-0.0024512260070343127,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.5,uniform,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.5,uniform,shifted,exact,0.9975487739929656,0.9975487739929656,1.0,1.0,-0.0024512260070343127,-0.0024512260070343127,0.0,0.0,10,0,0,0.0
0.8,mixed,low,1.5,uniform,shifted,noisy,0.9992503859314523,0.9992503859314523,1.0,1.0,-0.0007496140685476993,-0.0007496140685476993,0.0,0.0,10,0,0,0.0
